iter,model,max_vertex_scale,max_vertex_moment,centered_vertex_features,pca,acc,bal_acc,roc_auc,pr_auc
0,RFC,1,3,True,No,0.6440677966101694,0.6436781609195402,-1.0,-1.0
1,RFC,1,3,True,No,0.711864406779661,0.7120689655172414,-1.0,-1.0
2,RFC,1,3,True,No,0.6610169491525424,0.6586206896551725,-1.0,-1.0
3,RFC,1,3,True,No,0.6271186440677966,0.628735632183908,-1.0,-1.0
4,RFC,1,3,True,No,0.603448275862069,0.603448275862069,-1.0,-1.0
5,RFC,1,3,True,No,0.5862068965517241,0.5862068965517242,-1.0,-1.0
6,RFC,1,3,True,No,0.6896551724137931,0.6896551724137931,-1.0,-1.0
7,RFC,1,3,True,No,0.5172413793103449,0.5172413793103449,-1.0,-1.0
8,RFC,1,3,True,No,0.5344827586206896,0.5344827586206897,-1.0,-1.0
9,RFC,1,3,True,No,0.5689655172413793,0.5689655172413793,-1.0,-1.0
0,SVC,1,3,False,No,0.6101694915254238,0.6074712643678162,-1.0,-1.0
1,SVC,1,3,False,No,0.6271186440677966,0.6275862068965516,-1.0,-1.0
2,SVC,1,3,False,No,0.4576271186440678,0.4574712643678161,-1.0,-1.0
3,SVC,1,3,False,No,0.6610169491525424,0.6614942528735632,-1.0,-1.0
4,SVC,1,3,False,No,0.6551724137931034,0.6551724137931034,-1.0,-1.0
5,SVC,1,3,False,No,0.6551724137931034,0.6551724137931034,-1.0,-1.0
6,SVC,1,3,False,No,0.7068965517241379,0.7068965517241379,-1.0,-1.0
7,SVC,1,3,False,No,0.6379310344827587,0.6379310344827587,-1.0,-1.0
8,SVC,1,3,False,No,0.6724137931034483,0.6724137931034483,-1.0,-1.0
9,SVC,1,3,False,No,0.6551724137931034,0.6551724137931034,-1.0,-1.0
0,RBF,1,3,False,No,0.6271186440677966,0.6258620689655172,-1.0,-1.0
1,RBF,1,3,False,No,0.6440677966101694,0.643103448275862,-1.0,-1.0
2,RBF,1,3,False,No,0.6610169491525424,0.6603448275862069,-1.0,-1.0
3,RBF,1,3,False,No,0.6610169491525424,0.6597701149425287,-1.0,-1.0
4,RBF,1,3,False,No,0.5344827586206896,0.5344827586206896,-1.0,-1.0
5,RBF,1,3,False,No,0.5862068965517241,0.5862068965517242,-1.0,-1.0
6,RBF,1,3,False,No,0.603448275862069,0.603448275862069,-1.0,-1.0
7,RBF,1,3,False,No,0.603448275862069,0.603448275862069,-1.0,-1.0
8,RBF,1,3,False,No,0.6551724137931034,0.6551724137931034,-1.0,-1.0
9,RBF,1,3,False,No,0.6724137931034483,0.6724137931034483,-1.0,-1.0
0,LR,1,3,False,No,0.5254237288135594,0.5172413793103449,0.5471264367816092,0.5107172176937206
1,LR,1,3,False,No,0.5084745762711864,0.5,0.6045977011494252,0.6683198168225214
2,LR,1,3,False,No,0.5084745762711864,0.5,0.5908045977011493,0.5925658477705232
3,LR,1,3,False,No,0.5254237288135594,0.5172413793103449,0.7114942528735632,0.7215424136620082
4,LR,1,3,False,No,0.5172413793103449,0.5172413793103449,0.4922711058263971,0.45050002438337855
5,LR,1,3,False,No,0.5,0.5,0.5897740784780023,0.6376417431013146
6,LR,1,3,False,No,0.5,0.5,0.6111771700356718,0.6025660432350828
7,LR,1,3,False,No,0.5172413793103449,0.5172413793103449,0.539833531510107,0.546767447770681
8,LR,1,3,False,No,0.5,0.5,0.6052318668252081,0.6273786816536149
9,LR,1,3,False,No,0.5,0.5,0.6599286563614745,0.6584801229870866
0,GB,1,3,False,No,0.6101694915254238,0.6086206896551725,-1.0,-1.0
1,GB,1,3,False,No,0.6779661016949152,0.6781609195402298,-1.0,-1.0
2,GB,1,3,False,No,0.6610169491525424,0.6614942528735632,-1.0,-1.0
3,GB,1,3,False,No,0.6271186440677966,0.6281609195402299,-1.0,-1.0
4,GB,1,3,False,No,0.7241379310344828,0.7241379310344828,-1.0,-1.0
5,GB,1,3,False,No,0.6724137931034483,0.6724137931034483,-1.0,-1.0
6,GB,1,3,False,No,0.6724137931034483,0.6724137931034482,-1.0,-1.0
7,GB,1,3,False,No,0.7068965517241379,0.7068965517241379,-1.0,-1.0
8,GB,1,3,False,No,0.4482758620689655,0.4482758620689655,-1.0,-1.0
9,GB,1,3,False,No,0.5689655172413793,0.5689655172413793,-1.0,-1.0
0,RFC,1,3,False,No,0.576271186440678,0.575287356321839,-1.0,-1.0
1,RFC,1,3,False,No,0.6610169491525424,0.6609195402298851,-1.0,-1.0
2,RFC,1,3,False,No,0.711864406779661,0.7126436781609196,-1.0,-1.0
3,RFC,1,3,False,No,0.6779661016949152,0.6770114942528735,-1.0,-1.0
4,RFC,1,3,False,No,0.7413793103448276,0.7413793103448276,-1.0,-1.0
5,RFC,1,3,False,No,0.5689655172413793,0.5689655172413793,-1.0,-1.0
6,RFC,1,3,False,No,0.7241379310344828,0.7241379310344828,-1.0,-1.0
7,RFC,1,3,False,No,0.6206896551724138,0.6206896551724137,-1.0,-1.0
8,RFC,1,3,False,No,0.6551724137931034,0.6551724137931034,-1.0,-1.0
9,RFC,1,3,False,No,0.603448275862069,0.603448275862069,-1.0,-1.0
0,SVC,1,4,True,No,0.6101694915254238,0.6097701149425288,-1.0,-1.0
1,SVC,1,4,True,No,0.6949152542372882,0.6959770114942528,-1.0,-1.0
2,SVC,1,4,True,No,0.5254237288135594,0.5252873563218391,-1.0,-1.0
3,SVC,1,4,True,No,0.6610169491525424,0.6637931034482758,-1.0,-1.0
4,SVC,1,4,True,No,0.6724137931034483,0.6724137931034483,-1.0,-1.0
5,SVC,1,4,True,No,0.6896551724137931,0.6896551724137931,-1.0,-1.0
6,SVC,1,4,True,No,0.603448275862069,0.603448275862069,-1.0,-1.0
7,SVC,1,4,True,No,0.6206896551724138,0.6206896551724138,-1.0,-1.0
8,SVC,1,4,True,No,0.7068965517241379,0.7068965517241379,-1.0,-1.0
9,SVC,1,4,True,No,0.6724137931034483,0.6724137931034483,-1.0,-1.0
0,RBF,1,4,True,No,0.5932203389830508,0.5936781609195403,-1.0,-1.0
1,RBF,1,4,True,No,0.559322033898305,0.5603448275862069,-1.0,-1.0
2,RBF,1,4,True,No,0.6949152542372882,0.693103448275862,-1.0,-1.0
3,RBF,1,4,True,No,0.6779661016949152,0.6793103448275861,-1.0,-1.0
4,RBF,1,4,True,No,0.6206896551724138,0.6206896551724138,-1.0,-1.0
5,RBF,1,4,True,No,0.6379310344827587,0.6379310344827587,-1.0,-1.0
6,RBF,1,4,True,No,0.6551724137931034,0.6551724137931034,-1.0,-1.0
7,RBF,1,4,True,No,0.5862068965517241,0.5862068965517241,-1.0,-1.0
8,RBF,1,4,True,No,0.6724137931034483,0.6724137931034483,-1.0,-1.0
9,RBF,1,4,True,No,0.6379310344827587,0.6379310344827587,-1.0,-1.0
0,LR,1,4,True,No,0.5084745762711864,0.5,0.7126436781609196,0.6511453004478822
1,LR,1,4,True,No,0.5084745762711864,0.5,0.48850574712643674,0.4714555788121584
2,LR,1,4,True,No,0.5084745762711864,0.5,0.5977011494252873,0.5542222121200756
3,LR,1,4,True,No,0.5084745762711864,0.5,0.635632183908046,0.673204982152984
4,LR,1,4,True,No,0.5,0.5,0.6599286563614745,0.6235935592332136
5,LR,1,4,True,No,0.5,0.5,0.5719381688466112,0.5425493019703652
6,LR,1,4,True,No,0.5,0.5,0.6171224732461356,0.6538076767814218
7,LR,1,4,True,No,0.5,0.5,0.6860879904875148,0.6823534799427092
8,LR,1,4,True,No,0.5,0.5,0.6718192627824019,0.7361615359973418
9,LR,1,4,True,No,0.5,0.5,0.45778834720570744,0.485821500333135
0,GB,1,4,True,No,0.6271186440677966,0.6275862068965516,-1.0,-1.0
