iter,max_vertex_scale,max_vertex_moment,centered_vertex_features,pca,MAE,MSE,RMSE
47,1,4,False,No,0.8546548723726061,1.1412414009059852,1.0682890062646837
48,1,4,False,No,0.8839913246102058,1.2348030804841177,1.1112169367338305
49,1,4,False,No,0.8520627743347391,1.117218612707313,1.0569856255916221
0,1,5,False,No,0.8653701613811063,1.1519021028693568,1.0732670230978667
1,1,5,False,No,0.8512181656513985,1.1606813678908898,1.077349232092774
2,1,5,False,No,0.8330945449053291,1.098136964154036,1.0479203042951482
3,1,5,False,No,0.8692204876199241,1.1553839043495968,1.0748878566388202
4,1,5,False,No,0.867847403347057,1.1620799628175522,1.0779981274647708
5,1,5,False,No,0.8456899967006476,1.1189905100412216,1.0578234777320938
6,1,5,False,No,0.8925819503683676,1.2533664792568266,1.1195385117345569
7,1,5,False,No,0.8444242600461768,1.1375864947423466,1.06657699897492
8,1,5,False,No,0.8624089422708812,1.173308945694025,1.0831938633938178
9,1,5,False,No,0.8400175427173914,1.106104945011161,1.05171523950695
10,1,5,False,No,0.8647924223668962,1.1449248800964242,1.07001162615012
11,1,5,False,No,0.8489896961386436,1.1336191890733724,1.0647155437361533
12,1,5,False,No,0.8623494463679704,1.1607218962687174,1.0773680412322975
13,1,5,False,No,0.8576566651838311,1.1176461429434341,1.0571878465738405
14,1,5,False,No,0.8463769792039169,1.1000009803576456,1.048809315537217
15,1,5,False,No,0.8643481659031645,1.1568201325632765,1.075555731965237
16,1,5,False,No,0.8480919155664771,1.129067446013686,1.0625758542399155
17,1,5,False,No,0.8527511827069063,1.141036554657655,1.0681931261048514
18,1,5,False,No,0.8540346828031706,1.1476210479990174,1.0712707631588838
19,1,5,False,No,0.8523247165567819,1.1379284193446524,1.0667372775639992
20,1,5,False,No,0.8683946891337828,1.1813692515460865,1.0869081155029097
21,1,5,False,No,0.865926426837702,1.1597486207235053,1.0769162552044171
22,1,5,False,No,0.8669957379786115,1.1790203064390958,1.0858270149702005
23,1,5,False,No,0.8555659227354898,1.1356858204798803,1.0656856105249242
24,1,5,False,No,0.864141333635204,1.1457992158837216,1.070420111864366
25,1,5,False,No,0.8536460669699435,1.1211565448866607,1.0588467995355422
26,1,5,False,No,0.8816539828612135,1.1925727522976104,1.0920497938727933
27,1,5,False,No,0.8371843327344483,1.0935684748556387,1.0457382439480918
28,1,5,False,No,0.8451887447981324,1.1339185239807823,1.0648561048239251
29,1,5,False,No,0.8813789799137041,1.1908024579563714,1.0912389554796746
30,1,5,False,No,0.8925433466701118,1.2331643494814606,1.1104793332077192
31,1,5,False,No,0.8952214107375236,1.223369698586771,1.106060440747598
32,1,5,False,No,0.8912412386384914,1.2431521285448184,1.1149673217385425
33,1,5,False,No,0.9000582315373621,1.2556453908922127,1.120555840149081
34,1,5,False,No,0.8577956938772704,1.1404093443835694,1.0678995010690704
35,1,5,False,No,0.8559635152829517,1.1334365743909665,1.0646297827841218
36,1,5,False,No,0.8542273196920489,1.1279824435711352,1.0620651785889297
37,1,5,False,No,0.90151137636518,1.2825832044081804,1.132511900338438
38,1,5,False,No,0.8631804156564618,1.1636540013737695,1.0787279552203
